 	X	Y
463	-138.08385	373.65353
464	-137.67178	373.98557
465	-137.05373	374.48987
466	-136.6417	374.83026
467	-136.22966	375.174
468	-135.61157	375.6961
469	-135.19952	376.04843
470	-134.78745	376.40427
471	-134.16933	376.94455
472	-133.75723	377.30914
473	-133.34512	377.67728
474	-132.72699	378.23618
475	-132.3149	378.61328
476	-131.9028	378.994
477	-131.28467	379.57193
478	-130.87257	379.96182
479	-130.4605	380.35544
480	-129.84235	380.9529
481	-129.43024	381.35593
482	-129.01813	381.7628
483	-128.39993	382.38028
484	-127.98781	382.79678
485	-127.57568	383.21716
486	-126.95753	383.85513
487	-126.54545	384.28537
488	-126.13804	384.71466
489	-125.52821	385.36462
490	-125.12246	385.802
491	-124.51506	386.46423
492	-124.11095	386.90982
493	-123.70756	387.3586
494	-123.10385	388.03778
495	-122.70225	388.49466
496	-122.30127	388.9549
497	-121.70072	389.65186
498	-121.30078	390.12115
499	-120.70123	390.83243
500	-120.30168	391.31168
501	-119.90222	391.795
502	-119.30325	392.5277
503	-118.904015	393.02145
504	-118.305275	393.77005
505	-117.906136	394.2745
506	-117.3073	395.03967
507	-116.907845	395.55563
508	-116.50807	396.0765
509	-115.907646	396.86734
510	-115.50671	397.4012
511	-114.90413	398.2123
512	-114.50161	398.76004
513	-114.09836	399.31354
514	-113.492256	400.15463
515	-113.08738	400.7226
516	-112.68056	401.29834
517	-112.06862	402.17392
518	-111.660706	402.76398
519	-111.25282	403.35922
520	-110.64101	404.26187
521	-110.23313	404.87027
522	-109.62131	405.7929
523	-109.21341	406.41476
524	-108.80551	407.0421
525	-108.193634	407.99347
526	-107.78572	408.63467
527	-107.3778	409.2815
528	-106.765915	410.2624
529	-106.35798	410.9235
530	-105.95003	411.59042
531	-105.338066	412.6018
532	-104.93008	413.28348
533	-104.52206	413.97116
534	-103.909996	415.014
535	-103.50193	415.71692
536	-103.09385	416.42596
537	-102.4817	417.50125
538	-102.073586	418.22595
539	-101.4614	419.32495
540	-101.05329	420.06558
541	-100.64517	420.8127
542	-100.03303	421.9456
543	-99.62496	422.70905
544	-99.21693	423.47913
545	-98.604904	424.6468
546	-98.19693	425.43365
547	-97.78898	426.22736
548	-97.17709	427.43085
549	-96.769196	428.24188
550	-96.361305	429.06
551	-95.74947	430.30057
552	-95.341576	431.1367
553	-94.729675	432.40466
554	-94.32171	433.25934
555	-93.9137	434.12155
556	-93.30159	435.42923
557	-92.89345	436.3107
558	-92.48898	437.19186
559	-91.883675	438.52487
560	-91.48088	439.42154
561	-91.07863	440.3247
562	-90.4762	441.69196
563	-90.07506	442.61218
564	-89.47386	444.00623
565	-89.07344	444.9447
566	-88.67326	445.89072
567	-88.07357	447.32364
568	-87.67409	448.28845
569	-87.07531	449.75015
570	-86.67626	450.73474
571	-86.27723	451.72778
572	-85.678505	453.23386
573	-85.279106	454.24933
574	-84.679306	455.7908
575	-84.27883	456.83118
576	-83.87783	457.8819
577	-83.27533	459.47778
578	-82.87303	460.55496
579	-82.26862	462.19095
580	-81.86512	463.29507
581	-81.461105	464.41028
582	-80.85402	466.10437
583	-80.44857	467.24823
584	-79.83915	468.98654
585	-79.43192	470.16092
586	-79.02217	471.35306
587	-78.40455	473.17014
588	-77.99274	474.39526
589	-77.58087	475.63153
590	-76.96302	477.50693
591	-76.55108	478.77136
592	-76.139114	480.0472
593	-75.52114	481.9826
594	-75.10915	483.28738
595	-74.697174	484.60388
596	-74.07923	486.60083
597	-73.66728	487.94708
598	-73.25535	489.3054
599	-72.63745	491.3658
600	-72.22553	492.7549
601	-71.81362	494.15652
602	-71.195755	496.28265
603	-70.78384	497.71613
604	-70.37192	499.16254
605	-69.754036	501.35672
606	-69.34212	502.83606
607	-68.93019	504.32877
608	-68.312294	506.59323
609	-67.90037	508.11996
610	-67.48844	509.66052
611	-66.870544	511.99756
612	-66.45862	513.57324
613	-66.04669	515.16315
614	-65.42879	517.57513
615	-65.01685	519.20135
616	-64.60491	520.84235
617	-63.98699	523.3318
618	-63.57505	525.0102
619	-63.163105	526.70386
620	-62.545193	529.2731
621	-62.133255	531.0053
622	-61.72133	532.7532
623	-61.103474	535.40454
624	-60.691593	537.192
625	-60.279747	538.99554
626	-59.662052	541.7311
627	-59.2544	543.55676
628	-58.84722	545.3966
629	-58.237286	548.18335
630	-57.83118	550.05945
631	-57.42549	551.95026
632	-56.817745	554.8142
633	-56.413208	556.74164
634	-56.009186	558.6836
635	-55.40404	561.6242
636	-55.00112	563.60364
637	-54.39733	566.60236
638	-53.99507	568.62195
639	-53.592976	570.65826
640	-52.990013	573.74506
641	-52.588097	575.8249
642	-51.98524	578.9782
643	-51.58334	581.1031
644	-51.181435	583.2463
645	-50.578465	586.4961
646	-50.176342	588.6866
647	-49.774006	590.897
648	-49.169983	594.2506
649	-48.76684	596.5127
650	-48.16132	599.94635
651	-47.75702	602.2631
652	-47.35225	604.60205
653	-46.744244	608.1522
654	-46.33826	610.5475
655	-45.92967	612.9783
656	-45.31688	616.6618
657	-44.908405	619.1425
658	-44.295757	622.9014
659	-43.887363	625.4326
660	-43.478996	627.98413
661	-42.866478	631.84955
662	-42.45814	634.4521
663	-42.049816	637.075
664	-41.437336	641.0478
665	-41.02903	643.7218
666	-40.620716	646.4163
667	-40.00824	650.49634
668	-39.59991	653.2418
669	-39.191563	656.0076
670	-38.57901	660.19434
671	-38.170616	663.0106
672	-37.7622	665.84686
673	-37.149536	670.1384
674	-36.74107	673.02405
675	-36.128334	677.3887
676	-35.719833	680.32227
677	-35.311314	683.27466
678	-34.69851	687.73785
679	-34.289963	690.73596
680	-33.8814	693.7518
681	-33.268543	698.308
682	-32.85996	701.3666
683	-32.451355	704.4415
684	-31.838425	709.08374
685	-31.429783	712.1977
686	-31.021124	715.32635
687	-30.40811	720.0456
688	-29.999414	723.2083
689	-29.590696	726.38367
690	-28.977592	731.16864
691	-28.568829	734.3722
692	-28.160034	737.58575
693	-27.54679	742.4229
694	-27.137907	745.6578
695	-26.524511	750.5226
696	-26.11553	753.77264
697	-25.706507	757.02704
698	-25.096323	761.88666
699	-24.691034	765.11584
700	-24.286125	768.34174
701	-23.679256	773.17303
702	-23.274918	776.3877
703	-22.870716	779.59607
704	-22.2646	784.3943
705	-21.86062	787.58136
706	-21.254887	792.33966
707	-20.851135	795.4951
708	-20.447481	798.63477
709	-19.842197	803.31055
710	-19.438734	806.40295
711	-19.035389	809.4727
712	-18.430285	814.0326
713	-18.026741	817.0402
714	-17.421007	821.4991
715	-17.016855	824.4336
716	-16.612415	827.3349
717	-16.005302	831.6187
718	-15.600228	834.4256
719	-15.194925	837.1899
720	-14.586631	841.2502
721	-14.180815	843.896
722	-13.571646	847.76624
723	-13.1650505	850.2777
724	-12.757979	852.73145
725	-12.146428	856.29724
726	-11.736452	858.6026
727	-11.294097	861.5594
728	-10.676337	867.0343
729	-10.264443	869.1864
730	-9.852505	871.7561
731	-9.234529	875.3347
732	-8.82251	877.202
733	-8.410465	879.4231
734	-7.7923703	883.0223
735	-7.380301	884.9176
736	-6.968221	886.75336
737	-6.3500986	889.59546
738	-5.9380145	892.3339
739	-5.525932	898.88116
740	-4.9078197	901.426
741	-4.495747	902.1593
742	-4.08368	903.5962
743	-3.4656005	907.2408
744	-3.05356	908.82764
745	-2.6415336	909.30457
746	-2.0235465	910.7387
747	-1.6115826	911.4453
748	-1.1996529	913.1941
749	-0.5818303	916.5491
750	-0.17000142	919.5919
751	0.24178107	923.62787
