 	X	Y
490	-125.12136	384.16333
491	-124.51472	384.8232
492	-124.111206	385.2671
493	-123.70843	385.71414
494	-123.10562	386.39072
495	-122.7046	386.84583
496	-122.30414	387.30435
497	-121.70426	387.9988
498	-121.30468	388.4665
499	-120.70555	389.17548
500	-120.306175	389.65326
501	-119.70715	390.3778
502	-119.30787	390.86603
503	-118.90865	391.35846
504	-118.309944	392.10504
505	-117.91085	392.60812
506	-117.31214	393.37106
507	-116.91281	393.8855
508	-116.51317	394.4048
509	-115.912926	395.19324
510	-115.512115	395.72546
511	-114.90967	396.53415
512	-114.50714	397.08035
513	-114.103874	397.63235
514	-113.49761	398.4713
515	-113.09256	399.03793
516	-112.68455	399.61374
517	-112.0726	400.48685
518	-111.66467	401.0753
519	-111.25675	401.66888
520	-110.64487	402.56906
521	-110.23693	403.1758
522	-109.625	404.09598
523	-109.217026	404.71616
524	-108.80905	405.3418
525	-108.197075	406.29056
526	-107.78911	406.93
527	-107.381134	407.575
528	-106.7692	408.55307
529	-106.36126	409.21225
530	-105.95331	409.87723
531	-105.34136	410.8856
532	-104.93337	411.56522
533	-104.52537	412.25082
534	-103.913315	413.29056
535	-103.50525	413.99133
536	-102.8931	415.05408
537	-102.48498	415.77036
538	-102.076836	416.4929
539	-101.464615	417.5886
540	-101.05648	418.32703
541	-100.64835	419.07187
542	-100.03622	420.20126
543	-99.628174	420.96234
544	-99.22016	421.72995
545	-98.60824	422.89383
546	-98.20034	423.6781
547	-97.79248	424.46915
548	-97.18075	425.66855
549	-96.772964	426.4768
550	-96.36519	427.2921
551	-95.753525	428.5284
552	-95.345726	429.36166
553	-94.73398	430.6253
554	-94.326096	431.47702
555	-93.91817	432.3363
556	-93.30618	433.63953
557	-92.89813	434.51794
558	-92.491745	435.40045
559	-91.8861	436.72995
560	-91.48312	437.6241
561	-91.08076	438.52466
562	-90.478226	439.88773
563	-90.07713	440.8049
564	-89.476234	442.19376
565	-89.07609	443.12854
566	-88.6763	444.07056
567	-88.07726	445.49722
568	-87.67831	446.4576
569	-87.08037	447.9124
570	-86.68196	448.89218
571	-86.084366	450.37756
572	-85.685814	451.37885
573	-85.286995	452.3894
574	-84.687996	453.92358
575	-84.28801	454.95908
576	-83.68694	456.532
577	-83.285515	457.5939
578	-82.883545	458.66644
579	-82.27969	460.29523
580	-81.87659	461.39438
581	-81.473045	462.50433
582	-80.8668	464.1901
583	-80.46195	465.3282
584	-79.85351	467.05746
585	-79.447	468.22556
586	-79.039734	469.40616
587	-78.424065	471.21075
588	-78.01223	472.4314
589	-77.60033	473.66315
590	-76.98238	475.53183
591	-76.570366	476.79175
592	-76.158325	478.06308
593	-75.54024	479.9916
594	-75.128174	481.29175
595	-74.71613	482.60352
596	-74.09811	484.59323
597	-73.68613	485.9345
598	-73.27418	487.28778
599	-72.656296	489.34045
600	-72.244385	490.72427
601	-71.83249	492.12057
602	-71.21463	494.23865
603	-70.80272	495.66672
604	-70.390785	497.10773
605	-69.77284	499.29382
606	-69.360855	500.76782
607	-68.948845	502.25522
608	-68.3308	504.51166
609	-67.91876	506.03305
610	-67.50672	507.5682
611	-66.88866	509.89706
612	-66.47662	511.46716
613	-66.064606	513.05145
614	-65.4466	515.4548
615	-65.03461	517.0751
616	-64.622635	518.71
617	-64.00468	521.1902
618	-63.592716	522.8623
619	-63.18075	524.5496
620	-62.562798	527.1094
621	-62.150818	528.8352
622	-61.738823	530.5768
623	-61.120823	533.21875
624	-60.708824	535
625	-60.296833	536.79736
626	-59.6789	539.5236
